,0,1
290,utanfrå,utenfra
291,utafrå,utafra
292,utafrå,utenfra
293,utefrå,utefra
294,utanlands,utenlands
295,utalands,utenlands
296,utanom,utenom
297,utifrå,utifra
298,vestafjells,vestenfjells
299,vestanifrå,vestenfra
300,vestafrå,vestenfra
301,vestafrå,vestafra
302,vestanom,vestenom
303,vestfrå,vestfra
304,bortan,borte
305,bortantil,bortentil
306,bortåt,borttil
307,bortatil,bortenfor
308,breiddmed,jamsides
309,burt,bort
310,burte,borte
311,bygdemellom,bygdimellom
312,byimelom,byimellom
313,bymellom,byimellom
314,dedan,derfra
315,derne,der
316,døremellom,dørimellom
317,dørmellom,dørimellom
318,einkvanstaden,etsteds
319,einkvanstad,etsteds
320,einkvanstad,ensteds
321,nordafor,nordenfor
322,sørafor,sønnenfor
323,sønnafor,sønnenfor
324,vestapå,vestenfor
325,vestafor,vestenfor
326,austapå,østenfor
327,austafor,østenfor
328,austafor,austenfor
329,vestafor,vestfor
330,attanfor,aktenfor
331,attanifrå,aktenfra
332,attafrå,aktenfra
333,attanfrå,aktenfra
334,bakanfor,bakenfor
335,bortanpå,bortenfor
336,bortapå,bortenfor
337,bortanfor,bortenfor
338,framanfor,fremmenfor
339,framanfor,frammenfor
340,hitanfor,hitenfor
341,innanfor,innenfor
342,nedanfor,nedenfor
343,ovanfor,ovenfor
344,utanfor,utenfor
345,heganfor,hitenfor
346,hitanfor,hitenfor
347,heimapå,hjemenfor
348,heimanpå,hjemenfor
349,heimafor,hjemenfor
350,heimanfor,hjemenfor
351,framfor,fremfor
352,framfor,framføre
353,framføre,fremfor
354,føre,foran
355,attanom,aktenom
356,attan,bakenfor
357,hitan,hitenfor
358,hega,hit
359,framan,fremfor
360,framani,fremfor
361,framantil,fremtil
362,framåt,fremtil
363,framatil,fremtil
364,framettermed,fremettermed
365,framgjennom,fremgjennom
366,frami,fremi
367,framigjennom,fremigjennom
368,framimot,fremimot
369,framved,fremved
370,frammed,fremved
371,frammi,fremi
372,framtil,fremtil
373,framunder,fremunder
374,gardmellom,gardimellom
375,gardemellom,gardimellom
376,gardfares,gardimellom
377,gardtales,gardimellom
378,gardtals,gardimellom
379,grunna,grunnet
380,hedan,heden
381,heimetter,hjemetter
382,heimanetter,hjemetter
383,heimtil,hjemtil
384,heimatil,hjemtil
385,heimantil,hjemtil
386,heimatt,hjem
387,herne,her
388,hitåt,hittil
389,husemellom,husimellom
390,ingenstad,ingensteds
391,innabeins,innenbens
392,innanbeins,innenbens
393,innanom,innenfor
394,innasunds,innensunds
395,innansunds,innensunds
396,innaskjers,innenskjærs
397,innanskjers,innenskjærs
398,innanskjers,innaskjærs
399,innantil,inni
400,innatil,inni
401,innhallt,innenfor
402,jamte,jamsides
403,landemellom,landimellom
404,mangstad,mangesteds
405,midfjords,midtfjords
406,midlies,midtlies
407,midskips,midtskips
408,motsøles,motsols
409,medsøles,medsols
410,nedstraums,nedstrøms
411,motstraums,motstrøms
412,næme,nær
413,nærhendes,nærme
414,nåme,pålangt
415,avleites,uteavsyne
416,nedan,nedenfor
417,nedani,nedenfor
418,nedåt,nedtil
419,norda,nordenfra
420,nordanetter,nordetter
421,nordani,nordenfor
422,nordatil,nordentil
423,nordantil,nordentil
424,nordantil,nordatil
425,nordnordaust,nordnordøst
426,vinnemellom,onnimellom
427,onnemellom,onnimellom
428,oppstraums,oppstrøms
429,ovan,oven
430,ovanav,ovenav
431,ovani,ovenfor
432,øvrefram,øvrefrem
433,sjøveges,sjøveies
434,sjøvegs,sjøveis
435,sjøveges,sjøverts
436,sønnanetter,sønnenetter
437,sønnani,sønnenfor
438,sønnatil,sønnentil
439,sønnantil,sønnentil
440,sønnantil,sønnatil
441,sørantil,sønnentil
442,søratil,sønnentil
443,sørom,sønnenfor
444,søromover,sørover
445,sørsøraust,sørsørøst
446,stykkomtil,innimellom
447,um,om
448,underan,under
449,unnatil,nedenfra
450,utabeins,utenbens
451,utanbeins,utenbens
452,utamed,utenom
453,utanav,utenfra
454,utanetter,utenfra
455,utakring,omkring
456,utanikring,omkring
457,utankring,omkring
458,utkring,utenfor
459,utanmed,utenom
460,utanstokks,utendørs
461,utastokks,utendørs
462,utantil,utenpå
463,utatil,utenpå
464,utar,lengerut
465,utarleg,langtute
466,utarlig,langtute
467,utåt,uttil
468,utan,uten
469,utandørs,utendørs
470,utigjennom,utgjennom
471,utor,utfra
472,veggemellom,veggimellom
473,vestani,vestenfor
474,vestantil,vestfra
475,vestatil,vestfra
476,vestanetter,vestetter
477,vesti,vestfor
478,vestom,vestfor
479,bakfrå,akterinn
480,beintfram,bentfrem
481,beintfram,bentfram
482,allestades,allesteds
483,allestadesfrå,allestedsfra
484,allestades,allestedshen
485,andsynes,angående
486,om,angående
487,rundt,angående
488,nårdetgjeld,angående
