,100-1- -a,245-1-0-a,260- - -c,653- - -a,lang,year,245-1-0-b,245-1-3-a,245-1-3-b
2018051448241,"From, Käte",Tenk hvis? :,2015,"OCD, PTSD, angst, barn, barnebøker, fobier, generalisert, helseangst, intervensjon, mestring, panikk, panikkangst, posttraumatisk stresslidelse, separasjonsangst, skolen, sosial, sosial, sosial fobi, sykdomsangst, tvangslidelse, tvangstanker",nob,2015,Sigrid og Erik engster seg,,
2018051468009,"Hagen, Gudny Ingebjørg",Pekebok for Krekling,cop. 2008,,nob,2008,,,
2018053048028,"Husebye, Sylvi Jane",Skipsletterne :,cop. 2013,,nob,2013,sjørøvere på ishavskysten,,
2018060148108,"Lindgren, Astrid",Pippi Langstrømpe,2007,,nob,2007,,,
2018060148113,"Hapka, Catherine.",Sofia den første,cop. 2013,,nob,2013,,,
2018060748071,"Riordan, Rick",Slangens skygge,cop. 2013,"amerikansk, barnelitterautur, fantastisk, fantasy, litteratur, magi",nob,2013,,,
2018060748085,"Gaarder, Jostein",Kabalmysteriet,2015,,nob,2015,,,
2018060807024,"Hagmar, Pia","Klar, ferdig, gå!",2014,,nob,2014,,,
2018060807049,"Johnsen, Janne Aasebø",Kamuflasje,2015,"forelskelse, norsk, oppvekst, romaner, ungdomsbøker, ungdomslitteratur",nob,2015,,,
2018060807072,"Jakobsen, Margareth Helen",Huldra Maja og trollet under teppet,2014,,nob,2014,,,
2018060807166,"Nortun, Harald",Eksperimentet :,2015,"barnebøker, kjønnsroller, tvillinger",nno,2015,roman,,
2018060807191,"Aamodt, Ingunn",Styggemann,2014,"barnelitteratur, grøsserbøker, norsk, spenning",nob,2014,,,
2018061107004,"Kaup, Ulrike",,2015,,nob,2015,,,
2018061107008,"Kaup, Ulrike",,2015,,nob,2015,,En ny hest på gården,
2018061107025,"Bruhn, Ina.",Ditte &amp; Lady,2014,,nob,2014,,,
2018061107068,"Larsson, Tobbe",,2015,,nob,2015,,,
2018061107094,"Löfgren, Ulf",Tøysekoppen Ludde,2015,,nob,2015,,,
