gjort,966.0
brunt,31.0
MED,27.0
begynne,268.0
bar,168.0
hull,88.0
Denne,242.0
Der,330.0
EN,80.0
Flott,9.0
Har,667.0
Kanskje,916.0
Noen,447.0
Selvfølgelig,164.0
Ta,134.0
alene,443.0
aller,128.0
ansiktet,1062.0
god,573.0
vent,83.0
hundre,302.0
stoppet,335.0
skikkelig,347.0
skinnende,67.0
slags,558.0
smilte,502.0
små,357.0
spise,201.0
stoppe,200.0
stua,122.0
rynkete,11.0
tak,389.0
tenke,725.0
tennene,139.0
tida,62.0
tror,1777.0
åpnet,449.0
hustaket,2.0
røde,164.0
svart,373.0
rom,240.0
lyver,66.0
høne,1.0
rakte,94.0
ingenting,884.0
inneholdt,51.0
kikket,423.0
klar,430.0
kål,1.0
kanskje,1697.0
oppover,185.0
mange,950.0
meget,21.0
måten,407.0
omtrent,319.0
lå,699.0
opphisset,20.0
ditt,372.0
ga,678.0
forferdelig,123.0
fa,85.0
ei,66.0
engang,810.0
dumme,74.0
dose,16.0
garasjen,43.0
ganger,862.0
ja,879.0
gården,26.0
hakket,20.0
hel,168.0
heller,812.0
holder,738.0
hvesende,5.0
kjørte,276.0
kokte,10.0
komme,1370.0
damen,39.0
damp,4.0
Akkurat,287.0
dag,1106.0
Snart,74.0
korken,13.0
(,865.0
;,1092.0
<,93.0
A,401.0
For,1048.0
Hold,121.0
Magiske,2.0
Som,632.0
centimeter,94.0
Var,304.0
begynner,923.0
best,168.0
bestemoren,14.0
bestemors,19.0
bilen,522.0
bitte,114.0
brølte,55.0
burde,785.0
koppen,51.0
rasende,114.0
krek,1.0
stå,290.0
sikker,616.0
skritt,369.0
skuret,7.0
slutt,695.0
snill,324.0
steder,173.0
sterk,147.0
stund,565.0
står,1406.0
riktig,261.0
sukker,168.0
svelget,76.0
syntes,434.0
t,54.0
tatt,1006.0
ute,696.0
Å,874.0
kruset,11.0
sent,169.0
stoffet,31.0
reiste,281.0
minste,251.0
—,1474.0
lyd,188.0
lyst,674.0
magisk,50.0
maling,29.0
malingen,16.0
merkelig,199.0
midt,393.0
mine,1240.0
massevis,28.0
minutter,327.0
nedover,319.0
kyllingen,2.0
nøyaktig,182.0
nesen,40.0
nei,600.0
pulver,1.0
nebbet,14.0
måtte,1336.0
mulig,454.0
farten,94.0
fullstendig,284.0
fryktelig,46.0
fortellinger,1.0
forsiktig,337.0
fordi,1281.0
flytende,22.0
flasker,29.0
flaskene,8.0
egen,507.0
fart,88.0
f,131.0
etterpå,202.0
eske,30.0
elleve,74.0
ellers,165.0
elektrisk,28.0
ekte,224.0
eksplodere,28.0
fylte,73.0
fullt,207.0
klemte,102.0
huske,245.0
dampen,5.0
kjempegøy,4.0
interessant,89.0
idé,170.0
høye,144.0
hør,45.0
hylla,33.0
hvorfor,812.0
holde,754.0
greie,96.0
hit,407.0
hentet,81.0
hemmeligheter,43.0
heidundrende,1.0
hatt,580.0
hals,37.0
grønn,52.0
griser,13.0
derfor,294.0
Kroppen,39.0
bordet,380.0
Dessuten,125.0
Først,192.0
Fru,2.0
Fire,47.0
Faren,131.0
FOR,24.0
Et,675.0
Din,52.0
Digre,2.0
Dere,343.0
bokser,14.0
Blake,3.0
Bare,630.0
Alle,558.0
82,44.0
7,107.0
4,138.0
13.,9.0
),1008.0
&,152.0
Hvem,405.0
Hver,133.0
Hvorfor,768.0
koker,7.0
boksen,27.0
blå,278.0
beste,367.0
barn,222.0
bakover,328.0
avskyelige,10.0
alt.,226.0
allerede,778.0
Vær,238.0
Vent,145.0
To,149.0
Tenk,160.0
Sånn,174.0
Snille,3.0
Ring,30.0
Quentin,38.0
Mor,36.0
klokka,247.0
Mens,192.0
komfyren,9.0
spennende,65.0
syn,29.0
sveige,30.0
stått,126.0
styrtet,30.0
stykke,102.0
steg,106.0
stanset,65.0
soverommet,84.0
takstein,2.0
snerret,22.0
snegler,10.0
smake,20.0
slik,620.0
slett,180.0
slapp,299.0
skyld,310.0
skrive,190.0
skrev,201.0
sånn,1805.0
sjokk,61.0
vaskerommet,11.0
kommet,530.0
øyeblikk,740.0
©,82.0
voldsom,25.0
vokset,2.0
visste,1327.0
vinduet,447.0
viftet,70.0
vente,220.0
vannet,187.0
tid,718.0
vann,235.0
vanlig,290.0
unna,606.0
tvers,86.0
tre,802.0
toppen,117.0
tomme,153.0
tingene,202.0
skapet,157.0
øyeblikket,184.0
sine,882.0
loftet,19.0
natten,154.0
munn,144.0
mest,470.0
mengder,22.0
mellom,923.0
magen,288.0
løpe,162.0
løftet,293.0
lukket,326.0
liter,9.0
nye,473.0
listen,25.0
liker,631.0
lignet,40.0
lenger,801.0
late,73.0
lange,227.0
landet,155.0
krus,15.0
kona,35.0
nummer,163.0
låven,7.0
nøye,80.0
rotter,14.0
seige,38.0
sauer,2.0
samtidig,317.0
sakte,139.0
saker,30.0
sagt,827.0
røyken,121.0
rund,15.0
sette,334.0
rosa,86.0
rolig,235.0
par,602.0
pekte,176.0
plassert,60.0
sikkert,786.0
problemet,89.0
ro,107.0
rakett,4.0
deretter,79.0
brydde,87.0
bygge,47.0
bøtte,12.0
dagen,557.0
daglig,18.0
damer,39.0
danset,76.0
datt,24.0
dessuten,124.0
dine,360.0
dragen,4.0
drikk,4.0
bruker,195.0
driver,203.0
drivet,5.0
dukket,195.0
dum,120.0
dypet,15.0
drikke,132.0
Ved,126.0
bang,6.0
Virkelig,20.0
aktet,2.0
altfor,291.0
an,183.0
arbeidet,35.0
bacon,6.0
bak,1027.0
bakdøra,18.0
boble,9.0
barnebøker,2.0
behøver,17.0
benken,140.0
berømte,19.0
bestemte,145.0
betyr,390.0
blaffen,30.0
blandet,50.0
bo,82.0
dyra,2.0
forsvunnet,77.0
greiene,83.0
gir,682.0
gitt,291.0
gjemt,52.0
glaner,7.0
glem,33.0
glemme,122.0
glemte,103.0
gnister,22.0
greide,29.0
grep,255.0
dyttet,94.0
grisen,11.0
grønt,51.0
gult,30.0
h,21.0
hatet,125.0
heks,70.0
gangs,69.0
føttene,274.0
fulgte,259.0
fr,27.0
egoistisk,16.0
ekkel,40.0
ekkelt,58.0
enten,114.0
esken,79.0
este,8.0
fait,280.0
faktisk,865.0
farge,98.0
fast,399.0
fingertuppene,56.0
fint,323.0
fire,440.0
fjærene,16.0
flere,659.0
fmgrene,49.0
folk,906.0
foregår,65.0
forrige,99.0
Tre,75.0
Gap,2.0
Til,426.0
Alt,378.0
8,39.0
88,20.0
9,64.0
92,23.0
94,21.0
ADVARSEL,4.0
ALL,14.0
ALT,11.0
Aha,17.0
TO,16.0
Brann,2.0
DEN,47.0
Deilig,2.0
Eller,652.0
FEM,9.0
FRA,10.0
76,26.0
72,16.0
7.,7.0
6,39.0
hjemmefra,30.0
',389.0
1,280.0
10,43.0
11,52.0
12,54.0
13,40.0
14,45.0
15,48.0
17,48.0
18,51.0
22,43.0
3,152.0
3.,28.0
31,26.0
40,29.0
44,22.0
54,24.0
GJØR,12.0
Ganske,30.0
Gjør,73.0
Med,432.0
Mener,73.0
Noe,247.0
Norge,21.0
Norsk,37.0
Når,479.0
P,23.0
Pappa,436.0
Pluss,19.0
Plutselig,208.0
SKJE,1.0
STERK,1.0
Spis,5.0
Stopp,17.0
Store,23.0
Magen,20.0
Grisen,1.0
Litt,99.0
Gyldendal,29.0
Hadde,208.0
Hele,143.0
Hell,5.0
Helt,168.0
Hodet,42.0
Hør,81.0
IKKE,57.0
Ingen,544.0
Ingenting,224.0
K,22.0
KAN,7.0
Kan,426.0
Lille,9.0
hjel,41.0
frokosten,8.0
hode,100.0
snakke,1079.0
skremt,54.0
skrukkete,6.0
skuldrene,465.0
slange,14.0
slangene,6.0
slukket,15.0
sluppet,55.0
slurk,61.0
snakket,686.0
skjer,419.0
sove,170.0
spann,1.0
sprute,8.0
sted,800.0
stemme,416.0
stikk,45.0
stille,762.0
stort,332.0
straks,90.0
skjønne,140.0
skjelven,14.0
roe,53.0
sen,12.0
rør,22.0
rørt,44.0
s,104.0
sakene,24.0
sang,112.0
seks,187.0
sekund,146.0
selvfølgelig,270.0
senere,262.0
ser,4229.0
sett,1091.0
sikre,44.0
sint,292.0
siste,873.0
sittende,179.0
sjokolade,35.0
skarp,44.0
skitten,27.0
strakte,189.0
største,130.0
støt,38.0
virke,89.0
ufyselige,1.0
utenpå,19.0
utgave,31.0
uttrykk,116.0
varm,190.0
varmere,25.0
veien,495.0
ventet,406.0
virket,605.0
suite,3.0
viste,235.0
vite,702.0
voksen,45.0
voksne,59.0
vondt,274.0
www.gyldendal,26.0
hoppende,1.0
ørene,121.0
udyr,21.0
tynne,77.0
tykk,48.0
sus,6.0
svevde,37.0
særlig,264.0
tenk,84.0
tenker,949.0
tenner,184.0
time,258.0
tjeneste,52.0
tomt,94.0
trekvart,2.0
trodd,184.0
trodde,794.0
tuber,1.0
tuller,65.0
tusen,189.0
tydelig,213.0
rope,80.0
åtte,126.0
ristet,346.0
lager,157.0
kravler,9.0
kroppen,573.0
krymper,24.0
krympet,34.0
kråka,8.0
kuer,5.0
kvart,29.0
kyllinger,1.0
lagt,311.0
langt,523.0
le,253.0
legger,893.0
leke,49.0
lenge,823.0
leppene,210.0
lett,530.0
lignende,17.0
liksom,568.0
korte,49.0
korn,1.0
koke,10.0
klaget,22.0
rekke,108.0
hunder,35.0
hvit,166.0
hvitt,111.0
hvor,2048.0
hyllene,24.0
håper,281.0
håret,720.0
imot,343.0
iskalde,46.0
kartong,1.0
kjempediger,3.0
kjære,102.0
kjøkkenbordet,27.0
kjøpte,92.0
livet,839.0
hus,177.0
ordentlig,239.0
nettopp,503.0
no,41.0
nokså,7.0
norske,9.0
nærmere,308.0
onde,50.0
opphisselse,9.0
opptatt,163.0
orker,79.0
navnene,42.0
overflaten,49.0
passe,134.0
passerte,42.0
pillene,11.0
prøvde,824.0
puttet,21.0
lot,547.0
redd,655.0
nede,252.0
raketter,1.0
mat,147.0
merkelappen,14.0
måte,706.0
m,61.0
lysebrune,6.0
man,1606.0
mark,6.0
masse,247.0
med.,447.0
min.,633.0
minutt,87.0
mistet,218.0
morgen,423.0
morgenen,127.0
moro,31.0
motorolje,2.0
bredt,43.0
brukes,40.0
bruke,286.0
brenne,44.0
brann,22.0
brakte,33.0
bråk,21.0
både,351.0
bråke,3.0
brød,37.0
brødskiven,4.0
budt,2.0
bunn,18.0
bunnen,59.0
borti,131.0
bortover,158.0
blåste,63.0
bonde,3.0
blikket,813.0
bille,1.0
biller,13.0
bite,28.0
bitter,23.0
blande,27.0
blanding,48.0
blank,17.0
blikkboks,1.0
blunket,91.0
boksene,4.0
bly,8.0
blåst,23.0
bøndene,2.0
blått,85.0
bobler,11.0
boblet,4.0
bodde,120.0
bodet,58.0
bøker,141.0
daske,4.0
drep,13.0
dro,533.0
drukket,41.0
dumhet,1.0
dunke,16.0
dverg,4.0
dypt,327.0
dyr,108.0
dyrt,16.0
dårlige,49.0
dø,238.0
døde,404.0
egentlig,1167.0
eget,233.0
eggerøre,3.0
egget,1.0
eksempel,207.0
drive,42.0
drar,366.0
børstet,15.0
drakk,78.0
bøtter,4.0
com,14.0
dagene,63.0
dame,105.0
dampende,9.0
datter,32.0
deilig,90.0
dende,1.0
digert,24.0
disse,419.0
dit,247.0
dosen,2.0
doser,2.0
dra,561.0
ekorn,5.0
besvime,14.0
Utmerket,5.0
UTE,5.0
Ungdom,17.0
Unna,1.0
Ute,51.0
V,95.0
VANN,1.0
VED,4.0
VIL,6.0
Verden,42.0
Vet,233.0
Trykk,22.0
Tror,236.0
Større,3.0
eksplosjon,14.0
Synes,33.0
Synet,11.0
Tekst,6.0
Totalt,5.0
Vil,246.0
Vokser,1.0
bestemødre,2.0
barnslig,23.0
ba,177.0
bad,36.0
bake,10.0
ballong,9.0
bandt,13.0
barberkrem,1.0
barberskum,2.0
barnslige,7.0
begge,542.0
begynt,247.0
beistet,5.0
bekymret,194.0
ben,8.0
benete,1.0
beryktede,8.0
berømt,16.0
bestandig,49.0
aviser,11.0
avfyrt,1.0
avdøde,6.0
avbryter,93.0
W,41.0
Washington,6.0
Wt,1.0
absolutt,188.0
advarende,10.0
aldeles,4.0
alminnelige,3.0
altså,415.0
aner,132.0
ante,96.0
arbeid,33.0
armen,445.0
automatisk,49.0
avbryt,1.0
eksploderende,1.0
fred,116.0
eksplosjoner,1.0
gips,5.0
gammelt,52.0
gapte,6.0
gar,1.0
gassen,22.0
geniale,9.0
giftige,9.0
gigantisk,20.0
gin,5.0
gispet,54.0
galopperte,3.0
gjemme,63.0
gjennombrudd,3.0
gjerdene,1.0
gjerne,370.0
glad,585.0
glante,12.0
gli,121.0
glidende,6.0
gliset,12.0
gale,47.0
ektemannen,2.0
fyrstikk,5.0
fri,102.0
fritt,37.0
frosk,6.0
frukten,1.0
fryse,27.0
fugler,32.0
fyke,2.0
fykende,2.0
fylt,122.0
gal,141.0
fæle,19.0
født,78.0
føle,252.0
føler,516.0
følg,6.0
følt,85.0
g,62.0
gadd,16.0
gliste,58.0
glø-,1.0
halweis,105.0
gurglet,3.0
gyselig,1.0
hale,18.0
halv,119.0
halvparten,62.0
halvt,103.0
halvtime,37.0
handle,32.0
gnistret,21.0
handlingen,6.0
harde,51.0
hardkokt,1.0
hardt,424.0
harke,3.0
hav,42.0
gulvteppet,2.0
gule,47.0
gulaktige,3.0
godsaker,5.0
gravde,24.0
gretten,8.0
grov,22.0
grunn,521.0
grunnet,6.0
grå,150.0
grådige,3.0
grådighet,3.0
gråsprengte,1.0
gulaktig,5.0
fremst,30.0
fremover,50.0
fargen,30.0
farger,66.0
farlig,154.0
farta,4.0
feil,430.0
feilen,9.0
fem-seks,9.0
femten,80.0
fete,6.0
fjeset,41.0
finger,62.0
fingeren,111.0
finn,15.0
finnes,274.0
fireåring,1.0
fisk,25.0
fantes,218.0
falle,178.0
evner,11.0
eventyrene,1.0
eldgamle,16.0
eldre,155.0
elektriske,27.0
elendig,60.0
elendige,14.0
elever,55.0
ende,108.0
endelig,180.0
enden,164.0
endte,83.0
enig,78.0
enkel,49.0
ennå,326.0
enorm,53.0
enorme,93.0
erklærte,11.0
fjell,30.0
fjær,22.0
fremdeles,296.0
fortelle,678.0
forklare,144.0
formiddag,19.0
fornøyd,104.0
fornøyelse,11.0
forskjell,53.0
forstå,177.0
forsyninger,6.0
forsøke,16.0
fortsette,147.0
fl,5.0
forvandle,11.0
forvandler,4.0
forvandlet,35.0
forveien,17.0
forvirret,155.0
fotball,23.0
fotballer,1.0
Storbritannia,5.0
forferdelige,22.0
foreldrene,313.0
foreldre,67.0
foregikk,44.0
flakset,11.0
flekker,32.0
fleste,199.0
flotteste,4.0
fløt,27.0
fløy,51.0
fmner,3.0
fnyste,10.0
for-,2.0
foran,861.0
forandret,127.0
forbløffende,12.0
