
"

;; The original files now contained in this single file include, in addition
;; to the verb irregular, the following:
;; pl_def_f_subst.irreg
;; pl_def_m_subst.irreg
;; pl_def_n_subst.irreg
;; pl_ind_f_subst.irreg
;; pl_ind_m_subst.irreg
;; pl_ind_n_subst.irreg
;; sg_def_f_subst.irreg
;; sg_def_m_subst.irreg
;; sg_def_n_subst.irreg

;;;;;;;;;; Verbs ;;;;;;;;;;
utelot pret-nonfstr_infl_rule utelate
utelatt ppart-nonfstr_infl_rule utelate

løp pret-nonfstr_infl_rule løpe
forløp pret-nonfstr_infl_rule forløpe
beløp pret-nonfstr_infl_rule beløpe

bød pret-nonfstr_infl_rule byde
budt ppart-nonfstr_infl_rule byde
bød pret-nonfstr_infl_rule by
budt ppart-nonfstr_infl_rule by
forbød pret-nonfstr_infl_rule forby
forbudt ppart-nonfstr_infl_rule forby

brakk pret-nonfstr_infl_rule brekke
brukket ppart-nonfstr_infl_rule brekke
drev pret-nonfstr_infl_rule drive
drevet ppart-nonfstr_infl_rule drive



dret pret-nonfstr_infl_rule drite
dreit pret-nonfstr_infl_rule drite
dritt ppart-nonfstr_infl_rule drite
dretet ppart-nonfstr_infl_rule drite

skrek pret-nonfstr_infl_rule skrike
skreket ppart-nonfstr_infl_rule skrike

døde pret-nonfstr_infl_rule dø

dulgte pret-nonfstr_infl_rule dølge
dulgt ppart-nonfstr_infl_rule dølge

skred pret-nonfstr_infl_rule skride
skredet ppart-nonfstr_infl_rule skride
overskred pret-nonfstr_infl_rule overskride
overskredet ppart-nonfstr_infl_rule overskride

drakk pret-nonfstr_infl_rule drikke
drukket ppart-nonfstr_infl_rule drikke

forvred pret-finalstr_infl_rule forvri
forvrei pret-finalstr_infl_rule forvri
vred pret-finalstr_infl_rule vri
vrei pret-finalstr_infl_rule vri
vridde pret-finalstr_infl_rule vri


skled pret-finalstr_infl_rule skli
sklei pret-finalstr_infl_rule skli
sklidde pret-finalstr_infl_rule skli

lei pret-finalstr_infl_rule li
leid pret-nonfstr_infl_rule li


gli imp-delete_infl_rule glide
gled pret-nonfstr_infl_rule glide

ri imp-delete_infl_rule ride
red pret-nonfstr_infl_rule ride

frøs pret-nonfstr_infl_rule fryse
frosset ppart-nonfstr_infl_rule fryse

hev pret-nonfstr_infl_rule hive
hivde pret-nonfstr_infl_rule hive
heiv pret-nonfstr_infl_rule hive
hevet ppart-nonfstr_infl_rule hive

inngjøt pret-nonfstr_infl_rule inngyte

utgjøt pret-nonfstr_infl_rule utgyte

fulgte pret-nonfstr_infl_rule følge
fulgt ppart-nonfstr_infl_rule følge
forfulgte pret-nonfstr_infl_rule forfølge
forfulgt ppart-nonfstr_infl_rule forfølge
etterfulgte pret-nonfstr_infl_rule etterfølge
etterfulgt ppart-nonfstr_infl_rule etterfølge

gyste pret-nonfstr_infl_rule gyse
gjøs pret-nonfstr_infl_rule gyse

gytte pret-nonfstr_infl_rule gyte
gjøt pret-nonfstr_infl_rule gyte

ba pret-finalstr_infl_rule be
bad pret-finalstr_infl_rule be
utba pret-finalstr_infl_rule utbe
utbad pret-finalstr_infl_rule utbe
unnba pret-finalstr_infl_rule unnbe
frabad pret-finalstr_infl_rule frabe
tilba pret-finalstr_infl_rule tilbe
tilbad pret-finalstr_infl_rule tilbe
bad pret-finalstr_infl_rule bede

bedt ppart-finalstr-dd_infl_rule be
utbedt ppart-finalstr-dd_infl_rule utbe
unnbedt ppart-finalstr-dd_infl_rule unnbe
frabedt ppart-finalstr-dd_infl_rule frabe
tilbedt ppart-finalstr-dd_infl_rule tilbe
bedt ppart-finalstr-dd_infl_rule bede

stred pret-nonfstr_infl_rule stride
stridd ppart-nonfstr_infl_rule stride
stredet ppart-nonfstr_infl_rule stride
bestred pret-nonfstr_infl_rule bestride
bestridd ppart-nonfstr_infl_rule bestride
bestredet ppart-nonfstr_infl_rule bestride


