,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995
an,3,2.0,2.0,2.0,5.0,5.0,6.0,13.0,12.0,11.0
an-,1,,,,,,1.0,2.0,3.0,1.0
analyse,1,1.0,,1.0,2.0,1.0,4.0,18.0,14.0,13.0
anbefale,1,,,,,2.0,1.0,1.0,1.0,
andre,17,29.0,34.0,23.0,37.0,80.0,96.0,110.0,166.0,179.0
andres,1,,,,,,,3.0,13.0,14.0
anerkjennes,1,,,,,,,,,
anført,1,,,,,,1.0,1.0,,
angrepet,1,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,3.0
angripe,1,,,2.0,3.0,3.0,2.0,1.0,,2.0
angriper,1,1.0,,,1.0,2.0,2.0,1.0,,
anledning,1,3.0,3.0,4.0,11.0,12.0,7.0,10.0,11.0,7.0
anlegg,30,32.0,36.0,33.0,21.0,20.0,27.0,26.0,17.0,4.0
anlvgg,1,1.0,,,,,,,,
annen,15,19.0,16.0,19.0,30.0,40.0,44.0,73.0,90.0,91.0
annet,17,11.0,21.0,28.0,32.0,49.0,95.0,130.0,122.0,106.0
annonsetegning,1,1.0,1.0,,,,,,,
annot,1,1.0,,,,,,,,
anonymt,1,,,,,,,,,
anordningen,1,1.0,,,,,,,,
ansatt,4,4.0,8.0,6.0,11.0,14.0,9.0,9.0,17.0,20.0
anse,1,,,,,,,,,
ansettelse,4,5.0,1.0,,,1.0,1.0,2.0,1.0,
anstendig,3,16.0,16.0,5.0,15.0,15.0,12.0,12.0,14.0,10.0
anstendighetsfølelse,1,,,,,,,,,
anstrøk,1,,,,,,,,,
ansvaret,2,,3.0,3.0,1.0,6.0,6.0,8.0,6.0,5.0
ansvarlig,8,11.0,10.0,10.0,12.0,25.0,21.0,16.0,18.0,41.0
ansvars,1,1.0,,,,,,,,
ansvarsbevisst,2,1.0,,2.0,3.0,3.0,2.0,,,
ansvarsbevisste,5,2.0,,,,,,,,
ansvarsfull,2,,,,,1.0,1.0,1.0,1.0,2.0
ansvarsfulle,1,1.0,,,,,,,,
ansvarsløs,6,6.0,1.0,,,3.0,3.0,,,
antagelig,1,,,,,,1.0,3.0,2.0,1.0
antall,2,,,,,,,1.0,1.0,1.0
antar,1,,,,,1.0,1.0,2.0,1.0,4.0
antas,1,,,,,,,,,
anti-na,1,,,,,,,,,
antikverte,1,1.0,,,1.0,1.0,,,,
antisosialistisk,1,,,,,,,,,
antyder,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0
anvender,1,1.0,,,,,2.0,2.0,2.0,1.0
anvendt,1,1.0,,1.0,1.0,2.0,1.0,,,
apolegetikk,1,1.0,,,,,,,,
aportn,1,1.0,,,,,,,,
apoteket,1,,,,,,,,,
apparat,2,,,,,,,,,
ar,4,8.0,9.0,5.0,4.0,7.0,8.0,31.0,35.0,10.0
ar-,2,,1.0,1.0,1.0,,,,,1.0
arbeid,15,22.0,17.0,17.0,33.0,41.0,70.0,93.0,77.0,56.0
arbeide,5,14.0,14.0,9.0,11.0,11.0,8.0,27.0,33.0,11.0
arbeiderbevegelsen,1,1.0,,,1.0,3.0,3.0,1.0,1.0,
arbeidere,1,1.0,1.0,,,,,,,
arbeiderpresse,2,2.0,2.0,,1.0,1.0,,,,
arbeiderpressen,1,,,,,,,,,
arbeidet,7,11.0,14.0,13.0,13.0,16.0,31.0,46.0,34.0,20.0
arbeids-,1,,,,,1.0,3.0,3.0,3.0,4.0
arbeidsglad,1,1.0,,,,,,,,
arbeidsområder,1,1.0,,,,,,,2.0,2.0
arbeidsoppgåver,1,1.0,,1.0,1.0,,,,1.0,1.0
ardi,1,1.0,,,,,,,,
argentinsk,1,1.0,,,,,,,,
argument,1,,,,,1.0,,,,3.0
argumentasjon,2,3.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0
arkeologi,1,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0
arkivering,1,,,,,,,,,
arneriJuMWk,1,1.0,,,,,,,,
arrangere,1,2.0,1.0,1.0,3.0,2.0,,2.0,2.0,5.0
arrangeres,4,1.0,1.0,1.0,1.0,,,,,
arrangert,1,1.0,,3.0,7.0,6.0,2.0,1.0,,2.0
arrestasjonen,1,,,,1.0,1.0,,,,
art,2,3.0,3.0,2.0,4.0,5.0,4.0,3.0,19.0,18.0
artikkel,4,4.0,6.0,10.0,7.0,9.0,5.0,10.0,10.0,10.0
artikkelserie,2,2.0,,,,,,,,1.0
artikkelskribent,1,,,,,,,,,
artistiske,1,,,,1.0,1.0,,,,
artium,3,9.0,12.0,10.0,1.0,3.0,3.0,3.0,2.0,
asiaten,1,1.0,,,,,,,,
assistent,2,,,2.0,4.0,3.0,,,,
at,139,175.0,230.0,290.0,413.0,609.0,767.0,1075.0,1025.0,925.0
atatt,1,1.0,,,,,,,,
atomalder,1,1.0,,,,,,,,
atomsprenging,2,,,,,,,,,
atsayistikk,1,1.0,1.0,,,,,,,
atskillig,2,2.0,5.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0
att,1,1.0,1.0,2.0,1.0,1.0,1.0,,,
attestkopier,2,2.0,2.0,2.0,,,,,,
attet,1,,,,,,,,,
attråverdig,1,1.0,,,,,,,,
atuders,1,1.0,,,,,,,,
auksjonsteknikk,1,,,,,,,,,
autorisert,1,1.0,,,,,,,,
av,223,302.0,372.0,413.0,588.0,916.0,1060.0,1459.0,1471.0,1349.0
avanned,1,1.0,,,,,,,,
avart,1,2.0,1.0,1.0,1.0,1.0,1.0,,,
avbalanscrt,1,,,,,,,,,
avbalansert,4,,,,1.0,2.0,1.0,1.0,,1.0
avdeling,2,,,,4.0,5.0,10.0,39.0,100.0,127.0
avdempet,1,1.0,,,,,,,,
avgifter,1,,,,,,,,,4.0
avgikk,1,1.0,,,,,,,,
avholde,1,,,,,,1.0,1.0,1.0,
avhoringen,1,,,,,,,,,
avis,8,14.0,18.0,16.0,24.0,44.0,55.0,60.0,69.0,70.0
avisa,3,5.0,3.0,1.0,8.0,16.0,25.0,25.0,21.0,23.0
avisarbeid,3,4.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,
avisdrift,8,6.0,6.0,8.0,8.0,10.0,4.0,12.0,14.0,6.0
avisen,5,16.0,18.0,10.0,17.0,32.0,43.0,85.0,77.0,64.0
avisene,11,7.0,9.0,11.0,13.0,24.0,27.0,36.0,45.0,30.0
avisenes,1,2.0,2.0,2.0,3.0,3.0,6.0,13.0,13.0,3.0
avisens,2,3.0,8.0,8.0,13.0,17.0,29.0,51.0,70.0,56.0
aviser,8,16.0,25.0,34.0,40.0,37.0,40.0,82.0,70.0,55.0
avisers,2,3.0,3.0,1.0,2.0,4.0,4.0,5.0,3.0,
aviskonge,1,,,,,,,,,
avismann,1,1.0,1.0,1.0,,,,,,
avisred-,2,,,,,,,,,
avisteknikk,2,3.0,2.0,1.0,1.0,2.0,,,,
aviséns,1,,,,,,,,,
avlivet,1,,,,,,,,,
avlsarbeid,1,,,,,,,,,
avlsens,1,1.0,,,,,,,,
avsMrende,1,,,,,,,,,
avskygning,1,,,,,,,,,
avsluttende,4,,,,,,1.0,1.0,1.0,1.0
avslørende,2,1.0,,,3.0,29.0,63.0,103.0,129.0,128.0
avslørt,1,,,,2.0,8.0,6.0,22.0,21.0,8.0
avslørte,1,,,,1.0,1.0,3.0,8.0,8.0,7.0
avsnitt,1,1.0,2.0,1.0,,,,1.0,1.0,
avsnittet,1,,,,,,,,,
avstand,1,3.0,6.0,13.0,25.0,27.0,12.0,22.0,24.0,17.0
avtale,2,1.0,,1.0,1.0,,,1.0,5.0,7.0
avtatt,1,,,,,,,,,
avtvang,1,1.0,,,,,,,,
avveksling,3,,,,,6.0,6.0,1.0,1.0,1.0
b,1,1.0,,2.0,4.0,4.0,3.0,4.0,6.0,7.0
bade,1,3.0,4.0,7.0,5.0,11.0,10.0,6.0,9.0,9.0
bagateller,1,1.0,,,,,,1.0,1.0,
bak,1,2.0,3.0,4.0,6.0,18.0,21.0,20.0,19.0,16.0
bake,1,2.0,1.0,,,,,,,
bakevje,1,1.0,,,,,,,,
bakgrunn,1,1.0,8.0,24.0,29.0,44.0,69.0,93.0,86.0,66.0
bakgrunnsorienterlng,1,1.0,,,,,,,,
bakvaskelse,1,1.0,,,,,,,,
ban,1,,,,,1.0,1.0,1.0,,
banal,1,2.0,3.0,1.0,2.0,2.0,1.0,,,3.0
banct,1,1.0,,,,,,,,
banebryteren,1,1.0,,,,,,,,
bante,1,1.0,1.0,,,,,,,
bare,45,46.0,47.0,43.0,62.0,87.0,121.0,134.0,134.0,127.0
baret,1,1.0,,,,,,1.0,1.0,
barn,2,2.0,3.0,1.0,2.0,1.0,4.0,11.0,10.0,6.0
barna,1,1.0,1.0,,,,,,,
barnéoppdragelse,1,1.0,,,,,,,,
base,1,1.0,,,,,,,,
baseres,1,1.0,1.0,,,,,2.0,2.0,
basert,2,,,,2.0,11.0,14.0,24.0,25.0,776.0
bchandlos,1,1.0,,,,,,,,
bdir,1,1.0,,,,,,,,
bebreide,1,1.0,,,,,,,,
bebreidelser,1,,,,,,,,,
bedragerisk,1,,,,,,,,,
bedre,8,3.0,13.0,15.0,17.0,28.0,34.0,49.0,39.0,62.0
bedrev,1,1.0,,,2.0,3.0,12.0,22.0,22.0,13.0
bedriftshistorier,1,1.0,,,,,,,,
bedriver,3,1.0,,2.0,10.0,34.0,28.0,43.0,51.0,55.0
bedrives,2,1.0,,7.0,9.0,6.0,9.0,19.0,17.0,9.0
bedømme,3,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0
bedømt,3,,,,,,,,,
befatning,1,1.0,2.0,3.0,2.0,1.0,,2.0,2.0,1.0
befatter,3,2.0,1.0,1.0,,,1.0,1.0,,
begavelse,2,,,,,,,,,
begeistring,1,,,1.0,2.0,4.0,2.0,3.0,2.0,2.0
begge,3,5.0,10.0,10.0,8.0,3.0,8.0,19.0,20.0,21.0
begivenheter,1,,,,,1.0,1.0,2.0,,3.0
begrcpet,1,,,,,,,,,
begrep,1,1.0,1.0,5.0,6.0,6.0,8.0,8.0,2.0,6.0
begrepet,9,3.0,4.0,2.0,5.0,16.0,22.0,20.0,18.0,10.0
begynne,1,,,,3.0,9.0,6.0,5.0,5.0,6.0
begynnelsen,2,,,1.0,1.0,2.0,3.0,3.0,4.0,4.0
begynner,4,2.0,4.0,4.0,4.0,4.0,2.0,4.0,9.0,13.0
begynnerstilling,2,,,,,,,,,
begynte,3,8.0,15.0,19.0,22.0,12.0,20.0,30.0,34.0,28.0
begår,1,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,
begått,2,,,1.0,1.0,7.0,8.0,8.0,5.0,6.0
behagelig,1,,,,,,,,,
behandler,2,2.0,3.0,3.0,5.0,3.0,1.0,2.0,1.0,
behandlet,2,2.0,,,,,,5.0,5.0,1.0
behandling,1,1.0,1.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0
beherske,1,1.0,1.0,1.0,1.0,1.0,2.0,,,
behersket,1,,,,,,,,,
behøvde,1,,,,,,,,,
behøver,1,,,,,1.0,4.0,5.0,6.0,2.0
bekjente,1,,,,,,,,,
beklagelig,1,,,1.0,3.0,6.0,5.0,2.0,4.0,3.0
beklager,2,1.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,3.0
beldskontors,1,,,,,,,,,
belyser,1,,,,1.0,8.0,8.0,,,2.0
belæring,1,1.0,,,1.0,2.0,1.0,,,
belønnes,1,,,,,,,,,1.0
bemerkningen,1,6.0,5.0,,,2.0,1.0,,,
ber,2,3.0,3.0,1.0,1.0,3.0,4.0,9.0,11.0,9.0
berattar,1,1.0,,,,,,,,
beretning,1,1.0,,,,1.0,,1.0,2.0,1.0
berettigelsen,1,,,,,,,,,
berettiget,1,1.0,,1.0,1.0,3.0,2.0,,,1.0
berøre,1,1.0,,,1.0,1.0,,,,
besjelet,1,1.0,,,,,,,,
beskjeftige,2,2.0,,,2.0,2.0,,,,1.0
beskjeftiget,2,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0
beskjettiLelser,1,,,,,,,,,
beskrivende,1,1.0,,1.0,3.0,3.0,2.0,4.0,4.0,3.0
beskriver,1,1.0,,,,,3.0,5.0,5.0,2.0
beskylder,1,,1.0,1.0,,,,2.0,2.0,1.0
beskyldninger,1,,,,,1.0,3.0,2.0,1.0,2.0
beslutninger,1,1.0,,,,,,,,
besokt,1,1.0,,,,,,,,
best,4,3.0,3.0,1.0,2.0,9.0,11.0,14.0,14.0,12.0
bestandig,2,2.0,,,,,,1.0,3.0,4.0
beste,12,31.0,43.0,41.0,47.0,56.0,69.0,85.0,78.0,64.0
bestemmelser,2,2.0,2.0,,,,,,,
bestemt,2,4.0,2.0,6.0,6.0,1.0,7.0,10.0,8.0,5.0
bestikkelser,1,,,,,,,,,
består,1,4.0,7.0,8.0,4.0,3.0,12.0,26.0,17.0,15.0
besynderlig,1,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
besøk,1,1.0,,1.0,1.0,1.0,,3.0,5.0,1.0
betakke,1,,,,,,,,,
betaling,1,1.0,,,,,,,1.0,1.0
betar,1,1.0,1.0,,,,,,,
betegne,2,1.0,1.0,2.0,1.0,,,1.0,3.0,1.0
betegnelsen,2,1.0,1.0,,2.0,5.0,8.0,4.0,2.0,5.0
betegnende,2,1.0,,,,2.0,2.0,,,
betegner,4,6.0,3.0,,1.0,3.0,4.0,4.0,4.0,3.0
betegnes,2,2.0,1.0,1.0,,1.0,2.0,4.0,7.0,4.0
betingelser,1,3.0,2.0,,1.0,2.0,,,1.0,1.0
betrakter,1,1.0,2.0,2.0,2.0,,4.0,4.0,3.0,4.0
betraktes,1,1.0,,,2.0,2.0,,2.0,4.0,3.0
betraktet,1,3.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,7.0
betraktninger,1,,1.0,1.0,,,1.0,1.0,1.0,1.0
betrodd,2,1.0,,,,,,,,
betror,1,,,,,,,,,
betyr,1,1.0,2.0,5.0,4.0,11.0,12.0,16.0,13.0,17.0
beundring,1,1.0,1.0,,,,,,2.0,2.0
beundringsverdig,1,1.0,1.0,,,,,1.0,,
bevepnet,1,1.0,,,,,,,,
bevilgning,1,,,,,,,,1.0,1.0
bevis,1,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0
bi-ting,1,,,,,,,,,
bibliografiske,1,1.0,,,,,,,,
bibliotekarbeid,3,1.0,,,,,,,,
bibliotekarbeide,1,,,,,,,,,
bibliotekarbeise,1,,,,,,,,,
bibliotekfaget,2,2.0,,,,,,,,
bibliotekslaere,1,1.0,,,,,,,,
bibliotekstell,1,,,,,,,,,
bidrag,1,,,2.0,5.0,7.0,6.0,7.0,5.0,9.0
bidragsyter,1,1.0,,1.0,1.0,4.0,3.0,1.0,,
bidske,1,,,,,,,,,
bilde,3,3.0,3.0,1.0,1.0,12.0,23.0,18.0,9.0,10.0
biler,1,1.0,,,,,,,,
billed,3,7.0,4.0,,,,,,,
billed-,1,1.0,,,,,,,,
billedstoffet,1,,,,,,,,,
billig,2,4.0,6.0,5.0,4.0,4.0,4.0,10.0,10.0,8.0
biologi,1,,,,,,,,,
birøkt,1,1.0,,,,,,,,
biskopen,1,,,,,,,,,
bit,1,2.0,2.0,,,,1.0,,,1.0
bl,5,49.0,74.0,31.0,15.0,13.0,3.0,30.0,29.0,3.0
bl.a.,2,8.0,14.0,13.0,16.0,24.0,20.0,33.0,26.0,17.0
blad,1,1.0,2.0,3.0,3.0,13.0,11.0,3.0,,2.0
bladarbeid,1,,,,,,,,,
bladavdeling,1,,,,,,,,,
bladdrift,2,2.0,2.0,,,,2.0,2.0,,
bladers,1,,,,,,,1.0,,
bladet,15,14.0,12.0,11.0,8.0,15.0,12.0,20.0,14.0,8.0
bladets,7,6.0,6.0,1.0,6.0,10.0,1.0,5.0,6.0,5.0
bladfolk,1,,,,1.0,1.0,,,,
bladredaksjon,1,1.0,,,,,,,,
blads,1,,,,,1.0,1.0,1.0,,
bladvirk,1,1.0,,,,,,,,
blanding,4,4.0,3.0,2.0,5.0,11.0,10.0,17.0,19.0,21.0
blandt,1,,,,,,,,,
blankt,1,,,,,,,2.0,1.0,
blant,5,8.0,11.0,16.0,16.0,21.0,42.0,66.0,78.0,79.0
ble,46,101.0,102.0,61.0,101.0,133.0,165.0,245.0,239.0,166.0
blendende,3,3.0,4.0,16.0,15.0,10.0,,2.0,3.0,3.0
blfl,1,1.0,1.0,,,,,,,
bli,26,29.0,37.0,33.0,43.0,66.0,92.0,134.0,132.0,130.0
blikk,1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,7.0
blir,30,49.0,51.0,49.0,70.0,142.0,241.0,306.0,260.0,283.0
blitt,20,16.0,20.0,20.0,27.0,43.0,77.0,99.0,84.0,87.0
blodet,1,1.0,3.0,2.0,2.0,,,,1.0,
blomebukett,1,1.0,,,,,,,,
blomstret,1,,,,1.0,,,,1.0,1.0
bohemtiden,1,1.0,1.0,,,,,,,
bok,5,3.0,9.0,9.0,4.0,19.0,26.0,39.0,32.0,30.0
bok-,2,2.0,,,,,,,,
boken,1,6.0,11.0,7.0,12.0,16.0,6.0,11.0,9.0,14.0
boker,2,1.0,,2.0,6.0,8.0,3.0,2.0,1.0,1.0
bokforlagsvirksomhet,1,1.0,1.0,,,,,,,
bokform,2,1.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,
bokhandel,3,,,,,,,,,
bokhandelen,1,,,,,,,,,
bokmål,1,1.0,1.0,1.0,1.0,,,1.0,1.0,
boknan6el,1,,,,,,,,,
boligsakas,1,,,,,,,,,
boltret,1,1.0,,,,,,,,
bor,3,5.0,7.0,8.0,14.0,18.0,14.0,14.0,16.0,12.0
bordet,1,,,,1.0,1.0,2.0,3.0,5.0,4.0
borger,2,2.0,,,,,,,,
borgerinne,1,1.0,,,,,,,,
borgerlig,3,1.0,,2.0,6.0,7.0,2.0,1.0,2.0,
borgerlige,2,3.0,8.0,5.0,9.0,10.0,4.0,2.0,1.0,
borgerpressen,1,,,,,,,,1.0,1.0
bort,3,,1.0,1.0,,1.0,6.0,10.0,9.0,8.0
borte,1,2.0,2.0,3.0,3.0,5.0,7.0,8.0,9.0,11.0
bortgjemt,1,1.0,,,,,,,,
borti,2,2.0,1.0,,3.0,6.0,6.0,3.0,2.0,3.0
botemidler,1,,,,,1.0,1.0,,,
botens,1,,,,,,,,,
boulevardpressens,1,1.0,,,,,,,,
bra,1,1.0,2.0,2.0,11.0,26.0,32.0,37.0,37.0,40.0
bragt,1,3.0,2.0,,1.0,3.0,5.0,3.0,3.0,2.0
brahmin,1,1.0,1.0,,,,,,,
brakte,1,,,,,2.0,2.0,3.0,1.0,1.0
bred,1,1.0,1.0,2.0,1.0,7.0,17.0,35.0,29.0,16.0
bredden,1,,,,,,,1.0,1.0,2.0
brev,7,1.0,2.0,4.0,5.0,5.0,7.0,6.0,3.0,2.0
brever,1,,1.0,1.0,,,,,,
brevskole,1,,,,,,1.0,1.0,1.0,
brevskolekurs,1,,,,,,,,,
briljante,1,1.0,1.0,,,,,,,
briljerer,1,1.0,1.0,,,,,,,
bringe,2,2.0,2.0,4.0,4.0,4.0,3.0,8.0,12.0,10.0
bringer,1,3.0,5.0,9.0,7.0,8.0,6.0,7.0,7.0,19.0
britisk,4,11.0,12.0,13.0,8.0,10.0,9.0,8.0,10.0,8.0
brodd,1,1.0,1.0,,,1.0,2.0,1.0,,
broer,1,1.0,1.0,,,,1.0,1.0,,
brorparten,1,1.0,,,,,1.0,1.0,,
bruk,1,4.0,6.0,10.0,12.0,13.0,14.0,12.0,19.0,13.0
bruke,2,1.0,2.0,4.0,11.0,14.0,14.0,18.0,23.0,27.0
bruker,1,2.0,3.0,3.0,4.0,7.0,12.0,35.0,33.0,10.0
bruks-,1,1.0,,,,,,,,
brukskunst,1,1.0,,,,,,,,
brukt,2,4.0,3.0,7.0,5.0,14.0,18.0,17.0,17.0,15.0
brukte,1,1.0,1.0,1.0,1.0,6.0,10.0,11.0,4.0,4.0
bunhrekordi,1,,,,,,,,,
bunnen,1,1.0,,,,,3.0,4.0,5.0,2.0
bunnrekord,3,1.0,1.0,1.0,,,,,,
burde,2,2.0,5.0,9.0,19.0,32.0,36.0,48.0,55.0,51.0
bussselskaper,1,,,,,,,,,
by,2,1.0,1.0,2.0,2.0,3.0,3.0,10.0,9.0,4.0
byen,3,4.0,2.0,1.0,,1.0,3.0,5.0,5.0,2.0
byens,2,2.0,2.0,,1.0,1.0,3.0,5.0,,1.0
byer,1,1.0,,,1.0,1.0,,,,
bygda,5,5.0,,,1.0,1.0,,,,
byggende,1,1.0,,,,,,2.0,2.0,
bygger,2,1.0,1.0,5.0,6.0,3.0,7.0,10.0,12.0,16.0
byr,1,1.0,5.0,4.0,2.0,,1.0,4.0,9.0,10.0
byråsjefen,1,,,,,,,,,
både,17,37.0,40.0,44.0,50.0,71.0,125.0,148.0,152.0,140.0
båten,1,,,,,,,1.0,1.0,2.0
bærer,1,1.0,1.0,2.0,3.0,4.0,5.0,8.0,11.0,10.0
bærsesongen,1,,,,,,,,,
bød,2,,,,,,,,,
bøker,9,6.0,7.0,9.0,16.0,20.0,14.0,15.0,22.0,26.0
bør,7,12.0,17.0,16.0,28.0,53.0,77.0,94.0,92.0,91.0
bøte,1,1.0,,,1.0,1.0,,,,
c,2,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0
c-nere,1,,,,,,,,,
c.2220,1,,,,,,,,,
cFvlkestidende,1,,,,,,,,,
cdrepta,1,1.0,,,,,,,,
cfterr.t,1,,,,,,,,,
charmerende,1,1.0,,,,,,,,
cier,1,,,,,,,,,
clen,1,,,,,,1.0,1.0,1.0,1.0
cn,1,1.0,,,,1.0,2.0,2.0,1.0,1.0
college,3,4.0,1.0,3.0,2.0,1.0,,1.0,1.0,1.0
d,8,7.0,,6.0,6.0,3.0,2.0,8.0,11.0,5.0
da,18,27.0,37.0,39.0,31.0,57.0,83.0,104.0,96.0,88.0
dag,14,17.0,15.0,11.0,15.0,31.0,61.0,75.0,91.0,101.0
dagblad,2,2.0,,,,,,,,
dagen,2,2.0,1.0,3.0,6.0,9.0,15.0,17.0,19.0,10.0
dagene,1,1.0,1.0,1.0,,1.0,3.0,8.0,6.0,3.0
dagens,9,4.0,5.0,7.0,15.0,36.0,76.0,92.0,108.0,86.0
dager,4,6.0,5.0,4.0,3.0,4.0,6.0,6.0,3.0,3.0
daglig,1,,2.0,4.0,6.0,7.0,2.0,8.0,7.0,8.0
daglige,1,5.0,9.0,8.0,2.0,2.0,5.0,10.0,10.0,3.0
dagliglivets,1,,,,,1.0,1.0,,,
dagligtale,2,1.0,,,,1.0,,,1.0,1.0
dagsaktuell,2,3.0,4.0,1.0,1.0,1.0,,3.0,7.0,8.0
dagspresses,1,,,,,1.0,1.0,,,
dame,3,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0
dan,2,1.0,1.0,,,,,,1.0,1.0
danne,1,1.0,1.0,2.0,1.0,,2.0,2.0,,1.0
dannet,1,,1.0,1.0,,1.0,1.0,2.0,1.0,
dans,1,1.0,,1.0,1.0,,3.0,6.0,3.0,6.0
dansekurs,1,,,,,,,,,
dansk,7,16.0,14.0,3.0,2.0,1.0,2.0,4.0,6.0,4.0
danske,2,2.0,2.0,1.0,,1.0,2.0,4.0,4.0,3.0
danskene,1,,,,1.0,1.0,1.0,1.0,1.0,
dar,1,,,,,,,,,
datens,1,,,,,,,,,
datidens,1,2.0,1.0,1.0,,,,1.0,4.0,5.0
dclv,1,1.0,,,,,,,,
de,60,87.0,119.0,118.0,137.0,270.0,336.0,416.0,448.0,407.0
debatterende,1,,,,,,,,,
definisjon,3,4.0,1.0,2.0,3.0,7.0,3.0,1.0,2.0,4.0
deg,1,,,1.0,9.0,21.0,27.0,29.0,34.0,36.0
degree,1,1.0,1.0,,,,1.0,1.0,1.0,
dei,4,2.0,3.0,5.0,22.0,39.0,39.0,39.0,26.0,35.0
dekadent,1,,,,,,1.0,1.0,1.0,
dekke,2,2.0,2.0,2.0,5.0,4.0,2.0,5.0,17.0,16.0
deko-,1,1.0,,,,,,,,
dekorasjoner,1,1.0,,,,,,,,
del,13,21.0,22.0,18.0,23.0,44.0,55.0,70.0,76.0,60.0
dele,1,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,2.0
deler,1,3.0,4.0,5.0,3.0,5.0,22.0,34.0,27.0,21.0
dellTtalia,1,1.0,,,,,,,,
delt,2,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,8.0
delta,1,,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0
deltagerne,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,
deltagrrp,1,,,,,,,,,
delte,1,1.0,,,2.0,4.0,,6.0,7.0,4.0
deltidsarbeid,2,2.0,,,,,,,,
dem,7,2.0,1.0,4.0,12.0,23.0,24.0,40.0,29.0,22.0
demagogi,1,,,,,,,,,
demokrat,1,1.0,,,,,,,,
demokrati,1,,,,,4.0,6.0,7.0,12.0,24.0
demokratiske,1,,,2.0,3.0,1.0,2.0,2.0,2.0,4.0
demonstrerer,1,1.0,,,,2.0,2.0,,,
demoraliserende,2,2.0,,,,,,,,
den,207,299.0,389.0,435.0,552.0,767.0,820.0,1009.0,1024.0,807.0
dengang,3,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0
denne,56,78.0,98.0,107.0,189.0,269.0,229.0,319.0,355.0,309.0
dens,3,4.0,6.0,8.0,6.0,12.0,7.0,11.0,10.0,9.0
denslags,3,6.0,6.0,3.0,3.0,10.0,16.0,23.0,14.0,6.0
der,17,25.0,23.0,32.0,54.0,76.0,75.0,158.0,165.0,127.0
dere,2,1.0,1.0,1.0,7.0,12.0,11.0,25.0,23.0,17.0
derefter,1,1.0,,,1.0,4.0,,,,
deres,5,7.0,6.0,3.0,5.0,13.0,16.0,22.0,19.0,27.0
deretter,1,,3.0,3.0,3.0,2.0,,1.0,2.0,2.0
derfor,6,12.0,10.0,5.0,11.0,27.0,32.0,26.0,49.0,56.0
derfrå,1,1.0,,,,,1.0,1.0,1.0,1.0
derne,2,3.0,2.0,,,,1.0,1.0,,
dernest,1,1.0,1.0,,,,,,,
derom,1,,,,,,,,,
dertil,1,1.0,,,,,1.0,2.0,4.0,3.0
desember,4,2.0,,1.0,2.0,1.0,3.0,5.0,7.0,6.0
dessuten,3,3.0,10.0,12.0,11.0,13.0,8.0,13.0,19.0,15.0
dessverre,3,4.0,5.0,9.0,5.0,5.0,7.0,15.0,16.0,9.0
det,233,323.0,408.0,439.0,627.0,1012.0,1275.0,1723.0,1620.0,1538.0
det-,1,1.0,,,,,,,,
detaljkunnskap,1,,,,,,,,,
dets,13,11.0,12.0,2.0,2.0,2.0,,,,1.0
dette,44,56.0,66.0,72.0,112.0,164.0,184.0,261.0,291.0,296.0
di,1,,,1.0,1.0,1.0,1.0,1.0,2.0,4.0
di-se,1,,,,,,,,,
die,1,1.0,1.0,,,,,,,
dig,2,2.0,1.0,,,,,2.0,2.0,1.0
diktere,1,1.0,,,,,,,1.0,1.0
dikteren,1,1.0,1.0,1.0,,,,,,
dikting,2,1.0,,2.0,5.0,5.0,2.0,3.0,1.0,5.0
diktning,20,13.0,8.0,7.0,9.0,18.0,19.0,18.0,10.0,8.0
dilettantisk,1,,,,,,,,,
din,1,3.0,5.0,5.0,5.0,9.0,9.0,11.0,16.0,16.0
dinev,1,1.0,1.0,,,,,,,
diplom,1,1.0,,,,,,9.0,11.0,10.0
diplomati,5,1.0,,1.0,5.0,6.0,4.0,9.0,8.0,1.0
diplomatisk,2,2.0,,,,,1.0,1.0,,
diplomeksamen,1,1.0,,,,,,1.0,4.0,3.0
