,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
satt,54.0,,,2.0,31.0,2.0,,,3.0,6.0,17.0,2.0,,,3.0,3.0,1.0,,,,1.0,6.0,,,,,,,,,,2.0,4.0,,5.0,,
med,401.0,39.0,3.0,311.0,825.0,69.0,3.0,11.0,1108.0,368.0,1167.0,139.0,116.0,182.0,71.0,320.0,232.0,13.0,161.0,24.0,5.0,42.0,33.0,1.0,1.0,51.0,,11.0,7.0,56.0,26.0,166.0,320.0,9.0,47.0,,1.0
så,198.0,16.0,,155.0,427.0,41.0,,22.0,236.0,52.0,713.0,98.0,44.0,80.0,34.0,82.0,79.0,1.0,83.0,3.0,6.0,47.0,14.0,,3.0,22.0,,4.0,3.0,31.0,15.0,144.0,131.0,9.0,13.0,,
såtte,2.0,,,,,,,,1.0,,1.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,5.0,,,,
ut,107.0,1.0,,267.0,58.0,11.0,,,19.0,2.0,1060.0,15.0,3.0,26.0,11.0,16.0,14.0,1.0,58.0,7.0,3.0,47.0,6.0,1.0,1.0,10.0,,,1.0,6.0,4.0,249.0,759.0,7.0,35.0,,
vokse,27.0,3.0,,2.0,2.0,,,,,,,3.0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,
mens,121.0,6.0,4.0,289.0,498.0,11.0,3.0,10.0,223.0,132.0,622.0,99.0,45.0,136.0,92.0,86.0,113.0,,91.0,16.0,14.0,33.0,15.0,,,16.0,,10.0,2.0,67.0,12.0,86.0,307.0,14.0,10.0,,
!,120.0,5.0,,88.0,162.0,43.0,,4.0,86.0,14.0,237.0,77.0,40.0,15.0,11.0,101.0,34.0,,21.0,3.0,6.0,33.0,16.0,1.0,5.0,39.0,,1.0,,16.0,7.0,42.0,64.0,3.0,28.0,,
manglet,2.0,,,1.0,,3.0,,,4.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,
febrilsk,2.0,,,5.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,123.0,3.0,2.0,111.0,300.0,39.0,4.0,11.0,218.0,46.0,356.0,79.0,26.0,57.0,77.0,101.0,86.0,,46.0,8.0,14.0,34.0,21.0,,1.0,4.0,,3.0,,23.0,8.0,71.0,183.0,9.0,13.0,1.0,1.0
...,49.0,3.0,,40.0,136.0,7.0,2.0,4.0,54.0,20.0,84.0,25.0,8.0,14.0,15.0,39.0,26.0,4.0,21.0,1.0,1.0,16.0,6.0,,2.0,4.0,,1.0,1.0,8.0,3.0,13.0,39.0,3.0,12.0,,
anslo,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
av,72.0,,1.0,124.0,312.0,10.0,,2.0,405.0,49.0,1116.0,74.0,39.0,38.0,65.0,226.0,51.0,,56.0,1.0,3.0,2141.0,20.0,2.0,1.0,38.0,,6.0,3.0,21.0,5.0,65.0,80.0,2.0,16.0,1.0,1.0
bak,245.0,,,311.0,90.0,2.0,,,88.0,1.0,34.0,1.0,,,3.0,13.0,1.0,,18.0,5.0,,10.0,2.0,,,1.0,,,,1.0,1.0,58.0,100.0,,8.0,,
da,39.0,2.0,,171.0,605.0,24.0,1.0,32.0,326.0,116.0,509.0,167.0,44.0,92.0,73.0,280.0,135.0,2.0,41.0,3.0,33.0,23.0,5.0,,,5.0,,5.0,3.0,58.0,17.0,70.0,240.0,9.0,11.0,,
dekket,18.0,,,6.0,5.0,2.0,,,27.0,2.0,9.0,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,2.0,,,,
et,16.0,,,25.0,428.0,5.0,,4.0,35.0,19.0,93.0,15.0,5.0,11.0,6.0,10.0,9.0,,10.0,,,7.0,1.0,,1.0,2.0,,1.0,,8.0,1.0,9.0,25.0,1.0,6.0,,
fritt,7.0,,,,,,,,5.0,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
løs,11.0,,,19.0,7.0,,,,4.0,,12.0,,,2.0,2.0,,,,6.0,,,6.0,,,,,,,,,,48.0,19.0,,2.0,,
før,85.0,4.0,1.0,124.0,194.0,8.0,1.0,2.0,81.0,50.0,246.0,39.0,18.0,91.0,44.0,43.0,15.0,1.0,23.0,8.0,3.0,23.0,5.0,,,2.0,,3.0,5.0,12.0,8.0,70.0,102.0,5.0,9.0,,
gjennom,6.0,5.0,,215.0,19.0,4.0,,,11.0,,90.0,3.0,2.0,5.0,8.0,9.0,6.0,,553.0,1.0,,8.0,6.0,1.0,,,,,,3.0,2.0,46.0,464.0,1.0,17.0,,
hadde,175.0,18.0,,100.0,258.0,45.0,1.0,5.0,135.0,37.0,311.0,131.0,24.0,39.0,19.0,53.0,33.0,,33.0,5.0,4.0,34.0,6.0,,,,,3.0,7.0,10.0,4.0,86.0,206.0,1.0,13.0,,1.0
hengende,37.0,,,7.0,3.0,,,,,,29.0,,,,1.0,3.0,2.0,,1.0,,,3.0,,,,4.0,,,,1.0,,14.0,3.0,,1.0,,
hoppet,4.0,,,6.0,2.0,,,1.0,1.0,,1.0,,2.0,1.0,2.0,5.0,1.0,,1.0,,,,,,,,,,,,1.0,,2.0,,,,
kaltes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kort,31.0,,,1.0,8.0,,,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,6.0,,,,
like,12.0,,,13.0,27.0,,,,11.0,2.0,29.0,3.0,,4.0,1.0,8.0,1.0,,1.0,,1.0,6.0,,,,,,,,3.0,,5.0,4.0,,2.0,,
klippet,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bort,314.0,1.0,,71.0,66.0,1.0,,,146.0,4.0,140.0,,,4.0,1.0,6.0,,,10.0,,,10.0,15.0,,,1.0,,,1.0,4.0,,23.0,82.0,4.0,23.0,,
