,håret,neglene,neglen,hendene,øynene,øyet,øyenvippene,øyenbrynene,ansiktet,pannen,hodet,halsen,nakken,skulderen,skuldrene,magen,brystet,brystene,fingrene,tommelen,ankelen,foten,tærne,tåen,tåa,rumpa,rumpen,lårene,leggene,knærne,kneet,armen,hånden,albuen,fingeren,lemmet,kjønnet
TIL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drivende,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dukkar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urban,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skilte,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smurt,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
bakpå,2.0,,,19.0,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,5.0,2.0,,,,
grønnere,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vakkert,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klistrende,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lage,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
viste,1.0,,,2.0,16.0,,,,18.0,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,3.0,,,,
honnes,3.0,,,,1.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,
trekker,1.0,,,,3.0,,1.0,,3.0,,1.0,,,,1.0,6.0,1.0,,,,,,,,,,,,,,,1.0,,,,,
blåse,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grep,1.0,1.0,,8.0,1.0,,,,2.0,,,,,2.0,,,,,18.0,,,1.0,,,,,,,1.0,1.0,,3.0,18.0,,,,
kler,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
liggende,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,5.0,7.0,,,,
skikkelig,1.0,,,,3.0,,,,1.0,,4.0,1.0,,1.0,,,,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,
snodd,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lite,1.0,,,,3.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
senere,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
snubler,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
klipt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ly,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loran,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
møter,1.0,,,,13.0,,,,,1.0,1.0,5.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,,,,
nede,1.0,,,9.0,,,,,4.0,,22.0,,,,4.0,,1.0,,1.0,,1.0,,1.0,,,,,,,3.0,,3.0,7.0,,2.0,,
liv,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lette,1.0,,,2.0,8.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,,,
stretar,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.0,,,1.0,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
tirsdag,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brunt,3.0,,,,,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
frøs,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
forover,1.0,,,8.0,,,,,5.0,,20.0,,3.0,,1.0,,,,,,,,,,,,,,,,,7.0,5.0,,,,
kjærtegner,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fagkyndig,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nedpå,1.0,,,1.0,,,,,,,6.0,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,
sklir,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
mittj,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duvende,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dytta,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oppsett,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rekte,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ustelt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
att.,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,,,
framfor,1.0,,,64.0,,,,,10.0,,,1.0,,,,,,,,,,11.0,,,,,,,,,,1.0,8.0,,4.0,,
hostet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
regelmessig,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sortere,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brent,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
tilrette,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da,1.0,,,,1.0,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
heller.»,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flyver,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjørte,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
lett,1.0,2.0,,20.0,1.0,,,1.0,3.0,5.0,33.0,,1.0,,,,,,24.0,2.0,,7.0,3.0,,,,,1.0,,3.0,,8.0,80.0,,16.0,,
lufttørke,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floke,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
',1.0,1.0,,5.0,1.0,3.0,,,,,3.0,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,
vanlig,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,3.0,,,1.0,,1.0,,,2.0,,11.0,2.0,,,3.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,10.0,,,,
09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaier,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innafor,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
GONE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flygende,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
inntullet,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
dittl,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvitt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prydelig,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skjøt,1.0,,,2.0,12.0,,,3.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,3.0,5.0,,3.0,,
skikkeleg,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLASSDEMONEN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\,1.0,,,2.0,2.0,,,,,,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,
betalte,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duvande,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flagrar,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyr,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sitret,1.0,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
låne,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dets,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOR,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
hvert,1.0,,,,2.0,,,,1.0,,1.0,,2.0,5.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,
skrått,1.0,,,2.0,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,
svakt,1.0,,,2.0,1.0,,,,1.0,,17.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
tråkker,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
klistre,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
duver,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
verken,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
son,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silkemykt,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprettete,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
børstet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdler,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnisse,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
rakt,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
energisk,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
graner,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kyler,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ømt,1.0,,,6.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,3.0,3.0,,,,
dine,,45.0,,332.0,651.0,,5.0,6.0,,,,,,,56.0,,,21.0,118.0,,,,29.0,,,,,1.0,7.0,14.0,,,,,,,
sine,,259.0,,2164.0,1240.0,,11.0,28.0,,,,,,,176.0,,,20.0,573.0,,,,96.0,,,,,29.0,18.0,129.0,,,,,,,
mine,,104.0,,2229.0,2572.0,,5.0,21.0,,,,,,,1095.0,1.0,,83.0,1034.0,,,,147.0,,,,,66.0,91.0,250.0,,1.0,,,,,
minner,,2.0,1.0,,2.0,,,,2.0,,4.0,,,,,7.0,,,1.0,,,,,,,,,1.0,,,,,,,,,
lange,,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
vrir,,2.0,,1.0,,,,,8.0,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,
bore,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dårlig,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glemmer,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greide,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,
presenterer,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grov,,9.0,,1.0,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,1.0,,
knepper,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
våre,,11.0,,261.0,237.0,,,,,,,,,,40.0,,,2.0,81.0,,,,12.0,,,,,7.0,5.0,24.0,,,,,,,
erte,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grave,,4.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
skrape,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boret,,25.0,,2.0,23.0,,,,5.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
brakk,,5.0,,,,,,,,,,,5.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,6.0,,,,,
rytmisk,,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
løpe,,1.0,,17.0,3.0,,,,2.0,,3.0,,,,,,,,49.0,1.0,,,,,,,,,,,,,7.0,,10.0,,
svarte,,2.0,,1.0,15.0,,1.0,1.0,1.0,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
skraper,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
blodige,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bredere,,3.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
borer,,5.0,,,12.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
skrapte,,2.0,1.0,,,,,,,3.0,2.0,,,,,,,,7.0,,,1.0,,,,,,,,1.0,,,,1.0,,,
trommer,,4.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,
trenger,,2.0,,1.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
renses,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graver,,13.0,,1.0,,,,,,,,,,,,,,,5.0,,,,2.0,,,,,,,,,,,,1.0,,
gjengrodd,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blå,,2.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ulakket,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sank,,4.0,,2.0,3.0,1.0,,,7.0,3.0,21.0,2.0,,,21.0,12.0,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,
synke,,1.0,,20.0,2.0,,,,1.0,,51.0,,,,22.0,3.0,,,4.0,,,1.0,3.0,,,,,,,,1.0,8.0,23.0,,1.0,,
gule,,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utvendig,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dypt,,4.0,,151.0,3.0,,,,11.0,1.0,23.0,,1.0,1.0,,,,,7.0,,,,1.0,,,1.0,,,,1.0,,,15.0,,2.0,,
etterlot,,2.0,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,
skjærer,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnisser,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
opprevet,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitt,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
presset,,2.0,2.0,63.0,5.0,2.0,,,70.0,9.0,19.0,3.0,,,5.0,3.0,10.0,6.0,9.0,1.0,,2.0,,,,1.0,,2.0,1.0,10.0,2.0,4.0,28.0,,2.0,,
lagde,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
filt,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tykke,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
andre,,2.0,,,,,,,2.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
skarpe,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alt,,2.0,,4.0,9.0,,,,,,10.0,,,1.0,,5.0,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,
gnagde,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,
presser,,3.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,2.0,4.0,,,,,,,,,,,,,1.0,1.0,,,,
skriker,,1.0,,,,,,,,,2.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
offentlig,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
krafset,,1.0,,7.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,
snart,,1.0,,,5.0,3.0,,,2.0,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,4.0,,,,
består,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
gravde,,7.0,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
trenge,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
bora,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
røde,,3.0,,6.0,22.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
dypere,,2.0,,9.0,,,,,3.0,,2.0,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,
velformede,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene,,2.0,,11.0,4.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
lukket,,1.0,,4.0,669.0,9.0,,,5.0,,1.0,,2.0,,,1.0,1.0,,20.0,,,,,,,,,,,,,3.0,9.0,,,,
hamret,,1.0,,,,,,,,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
fem,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hardere,,2.0,2.0,12.0,9.0,,,,5.0,,3.0,,,,,,,,6.0,,,2.0,,,,,,1.0,,,1.0,5.0,6.0,,,,
kutte,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,
slutter,,1.0,,2.0,2.0,,,,,,5.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
fare,,1.0,,2.0,10.0,,,,,,1.0,,,,,,,,7.0,1.0,,,,,,,,,,,,,2.0,,,,
advarende,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,25.0,,2.0,,
klorer,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,
sprakk,,1.0,,2.0,1.0,1.0,,,42.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,
sykelig,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endå,,1.0,,3.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
mangler,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
korte,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klikket,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
knallblå,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svakere,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voksaktige,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krammet,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
følge,,1.0,,7.0,10.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,9.0,,22.0,,
innover,,1.0,,1.0,1.0,,,,2.0,,2.0,,,3.0,,1.0,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,
s,,1.0,,1.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,
biter,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
grodd,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beveger,,,2.0,4.0,4.0,,1.0,,2.0,,5.0,,,,2.0,1.0,1.0,,12.0,,,,,,,,,,,,,1.0,6.0,,,,
min,,,14.0,,1.0,,,1.0,,193.0,,806.0,265.0,1079.0,1.0,993.0,,,,37.0,92.0,322.0,,5.0,,1.0,,,1.0,,,1637.0,2771.0,101.0,141.0,,
min.,,,5.0,,,,,,,230.0,,710.0,193.0,1116.0,1.0,595.0,1.0,,,11.0,53.0,114.0,,,,,,,,,,992.0,1307.0,48.0,72.0,,
din,,,1.0,1.0,,1.0,,,1.0,44.0,,133.0,53.0,59.0,,156.0,,,,18.0,24.0,135.0,,,,,4.0,,,,,269.0,427.0,8.0,70.0,,
her,,,1.0,4.0,3.0,,,,4.0,,13.0,3.0,1.0,,,4.0,,,2.0,,,3.0,,,,4.0,,,,,,2.0,3.0,,,,
sved,,,1.0,4.0,28.0,,,,3.0,1.0,,8.0,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,2.0,,,1.0,1.0,,,,
speiler,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fulle,,,,255.0,90.0,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,1.0,,1.0,,,,,
skalv,,,,84.0,,,,1.0,5.0,,1.0,,,,8.0,,,,28.0,,,,,,,,,2.0,1.0,19.0,,3.0,17.0,,,,
oppgitt,,,,24.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,
ivrig,,,,4.0,1.0,,,,2.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,4.0,,,,
awæpnende,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
beskyttende,,,,34.0,,,,,1.0,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,55.0,19.0,,,,
blandet,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
plantet,,,,12.0,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,2.0,,,
omstendelig,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rulle,,,,1.0,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
svulmet,,,,1.0,,,,,1.0,,,6.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,
undersøke,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unnskyldende,,,,10.0,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ustanselig,,,,2.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,
avvergende,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,,
bundne,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defensivt,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fomler,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
knuget,,,,20.0,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,24.0,,,,
lenkja,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
løper,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,
én,,,,6.0,6.0,1.0,,,2.0,,10.0,,,4.0,1.0,,,,3.0,,,1.0,,,,,,,,,,2.0,3.0,,,,
foldet,,,,214.0,,,,,,,,,1.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,
hvilende,,,,38.0,2.0,,,,9.0,4.0,54.0,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,4.0,11.0,1.0,3.0,,
vridd,,,,4.0,,,,,3.0,,12.0,,4.0,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,
synlige,,,,4.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
stø,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
strakt,,,,19.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,6.0,6.0,,,,
stoppe,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterke,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
innenfor,,,,7.0,,,,,3.0,,18.0,2.0,,,,,5.0,,3.0,,,37.0,,,,,,,,,,13.0,87.0,,1.0,,
278,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
445,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
538,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
begeistra,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desperat,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
ifor,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fremfor,,,,14.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,2.0
fornøyd,,,,10.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
awergende,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
rolig,,,,11.0,,,,,6.0,,6.0,,,,,,,,5.0,,,1.0,,,,,,,,,1.0,3.0,15.0,,1.0,,
skjelver,,,,31.0,,,,,,,,,,1.0,1.0,,1.0,,11.0,,,2.0,,,,,,1.0,1.0,7.0,,2.0,4.0,,,,
strekt,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
27,,,,3.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
dinglende,,,,2.0,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,9.0,2.0,,,,
nær,,,,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hvile,,,,12.0,19.0,,,,1.0,1.0,25.0,,,,,,,,9.0,,,,,,,,,,,1.0,1.0,6.0,50.0,,8.0,,
klemt,,,,16.0,1.0,1.0,,,11.0,,4.0,,,,,,1.0,,7.0,,,,,,,,,,,3.0,,1.0,5.0,1.0,,,
